trading_day,holiday_reopen,a50_channel_mode,a50_channel_return,a50_target_end_time,hkma_usdcny_closure_return
2016-01-04,1,holiday,-0.015691868758915817,92458,-0.0034338222784947581
2016-01-05,0,ordinary,-0.0020408163265300001,91459,0
2016-01-06,0,ordinary,-0.0027499999999999998,91458,0
2016-01-07,0,ordinary,-0.00523299277349,91459,0
2016-01-08,0,ordinary,0.0318230852211,91459,0
2016-01-11,0,ordinary,-0.019037818368899999,91457,-0.00017474328265354444
2016-01-12,0,ordinary,0.0101794803107,91455,0
2016-01-13,0,ordinary,0.0208277703605,91447,0
2016-01-14,0,ordinary,-0.022377999460800001,91458,0
2016-01-15,0,ordinary,0.0026695141484199998,91455,0
2016-01-18,0,ordinary,-0.0016469942355199999,91455,0.0003311100236176312
2016-01-19,0,ordinary,0.010087241003299999,91450,0
2016-01-20,0,ordinary,-0.0098065200105999992,91455,0
2016-01-21,0,ordinary,0.0073032188260799998,91457,0
2016-01-22,0,ordinary,0.021247240618099999,91455,0
2016-01-25,0,ordinary,0.00135648399349,91456,0.0019927745592323021
2016-01-26,0,ordinary,-0.0062432138979400002,91457,0
2016-01-27,0,ordinary,0.0087570621468899996,91458,0
2016-01-28,0,ordinary,0.0042722870976899998,91454,0
2016-01-29,0,ordinary,,,0
2016-02-01,0,ordinary,0.0108138873079,91459,-0.0041615732575734921
2016-02-02,0,ordinary,0.0031976744185999999,91450,0
2016-02-03,0,ordinary,-0.0088168373151299995,91458,0
2016-02-04,0,ordinary,0.01205510907,91458,0
2016-02-05,0,ordinary,-0.0036827195467400002,91455,0
2016-02-15,1,holiday,-0.01457559302657907,92455,-0.010369070104655487
2016-02-16,0,ordinary,0.010037281330700001,91457,0
2016-02-17,0,ordinary,-0.000279798545048,91459,0
2016-02-18,0,ordinary,0.011430164482900001,91457,0
2016-02-19,0,ordinary,-0.00055648302726800001,91458,0
2016-02-22,0,ordinary,0.013351877607799999,91458,0.00041158095451288013
2016-02-23,0,ordinary,0.00518134715026,91436,0
2016-02-24,0,ordinary,-0.0019257221458,91457,0
2016-02-25,0,ordinary,-0.00081922446750400005,91459,0
2016-02-26,0,ordinary,0.0134825014343,91454,0
2016-02-29,0,ordinary,,,0.0016552275490540058
2016-03-01,0,ordinary,0.00897770055025,91452,0
2016-03-02,0,ordinary,0.0122332859175,91459,0
2016-03-03,0,ordinary,0.00027419797093499999,91457,0
2016-03-04,0,ordinary,0.0049436967865999996,91459,0
2016-03-07,0,ordinary,0.0106809078772,91459,-0.0022787862999932296
2016-03-08,0,ordinary,0.0018726591760300001,91448,0
2016-03-09,0,ordinary,-0.0118089103596,91458,0
2016-03-10,0,ordinary,-0.0024337479718800001,91459,0
2016-03-11,0,ordinary,0.0013717421124799999,91458,0
2016-03-14,0,ordinary,0.0152921900601,91452,-0.0024770203668725843
2016-03-15,0,ordinary,0.0062263129399000002,91457,0
2016-03-16,0,ordinary,-0.0021563342318100002,91454,0
2016-03-17,0,ordinary,0.014426930269799999,91459,0
2016-03-18,0,ordinary,0.0071504237288099997,91457,0
2016-03-21,0,ordinary,0.012894736842099999,91446,-0.00058740601440609996
2016-03-22,0,ordinary,0.0053846153846199996,91459,0
2016-03-23,0,ordinary,0.0038769707934899998,91459,0
2016-03-24,0,ordinary,-0.0082623289439700005,91459,0
2016-03-25,0,ordinary,0.000262191924489,91456,0
2016-03-28,0,ordinary,0.0041775456919100002,91445,0
2016-03-29,0,ordinary,0.0065997888067599996,91457,0
2016-03-30,0,ordinary,0.00768008474576,91457,0
2016-03-31,0,ordinary,,,0
2016-04-01,0,ordinary,0.0036363636363599999,91458,0
2016-04-05,1,holiday,-0.009600415153087738,92459,0.00063002399149958421
2016-04-06,0,ordinary,-0.0051746442432099998,91457,0
2016-04-07,0,ordinary,0.0059678256357,91458,0
2016-04-08,0,ordinary,-0.0060351613749700002,91458,0
2016-04-11,0,ordinary,0.0039525691699599996,91456,-0.00096105632625798076
2016-04-12,0,ordinary,0.0039205436487199999,91459,0
2016-04-13,0,ordinary,0.0052164840897200001,91457,0
2016-04-14,0,ordinary,0.0108331183905,91456,0
2016-04-15,0,ordinary,0.0033462033461999999,91457,0
2016-04-18,0,ordinary,-0.0079630105317199992,91456,-0.00021602679000765068
2016-04-19,0,ordinary,0.0093385214007800001,91456,0
2016-04-20,0,ordinary,0.0054347826087000001,91457,0
2016-04-21,0,ordinary,-0.0020925974365700001,91452,0
2016-04-22,0,ordinary,-0.0052205690420299997,91449,0
2016-04-25,0,ordinary,-0.0049197307094799997,91457,0.0014676898561662988
2016-04-26,0,ordinary,0.00182291666667,91457,0
2016-04-27,0,ordinary,0,91458,0
2016-04-28,0,ordinary,0.0057321521625799997,91455,0
2016-04-29,0,ordinary,,,0
2016-05-03,1,holiday,0.00052342318764719842,92453,0.00087487850804635059
2016-05-04,0,ordinary,-0.0054291623578099999,91459,0
