date,NASDAQCOM,VIXCLS,nasdaq_observed,vix_observed,joint_observed
2014-01-01,,,False,False,False
2014-01-02,4143.07,14.23,True,True,True
2014-01-03,4131.91,13.76,True,True,True
2014-01-06,4113.68,13.55,True,True,True
2014-01-07,4153.18,12.92,True,True,True
2014-01-08,4165.61,12.87,True,True,True
2014-01-09,4156.19,12.89,True,True,True
2014-01-10,4174.66,12.14,True,True,True
2014-01-13,4113.3,13.28,True,True,True
2014-01-14,4183.02,12.28,True,True,True
2014-01-15,4214.88,12.28,True,True,True
2014-01-16,4218.69,12.53,True,True,True
2014-01-17,4197.58,12.44,True,True,True
2014-01-20,,,False,False,False
2014-01-21,4225.76,12.87,True,True,True
2014-01-22,4243,12.84,True,True,True
2014-01-23,4218.87,13.77,True,True,True
2014-01-24,4128.17,18.14,True,True,True
2014-01-27,4083.61,17.42,True,True,True
2014-01-28,4097.96,15.8,True,True,True
2014-01-29,4051.43,17.35,True,True,True
2014-01-30,4123.13,17.29,True,True,True
2014-01-31,4103.88,18.41,True,True,True
2014-02-03,3996.96,21.44,True,True,True
2014-02-04,4031.52,19.11,True,True,True
2014-02-05,4011.55,19.95,True,True,True
2014-02-06,4057.12,17.23,True,True,True
2014-02-07,4125.86,15.29,True,True,True
2014-02-10,4148.17,15.26,True,True,True
2014-02-11,4191.04,14.51,True,True,True
2014-02-12,4201.29,14.3,True,True,True
2014-02-13,4240.67,14.14,True,True,True
2014-02-14,4244.03,13.57,True,True,True
2014-02-17,,,False,False,False
2014-02-18,4272.78,13.87,True,True,True
2014-02-19,4237.95,15.5,True,True,True
2014-02-20,4267.55,14.79,True,True,True
2014-02-21,4263.41,14.68,True,True,True
2014-02-24,4292.97,14.23,True,True,True
2014-02-25,4287.59,13.67,True,True,True
2014-02-26,4292.06,14.35,True,True,True
2014-02-27,4318.93,14.04,True,True,True
2014-02-28,4308.12,14,True,True,True
2014-03-03,4277.3,16,True,True,True
2014-03-04,4351.97,14.1,True,True,True
2014-03-05,4357.97,13.89,True,True,True
2014-03-06,4352.13,14.21,True,True,True
2014-03-07,4336.22,14.11,True,True,True
2014-03-10,4334.45,14.2,True,True,True
2014-03-11,4307.19,14.8,True,True,True
2014-03-12,4323.33,14.47,True,True,True
2014-03-13,4260.42,16.22,True,True,True
