trading_day,previous_china_day,contract,delivery_year,delivery_month,start_time,start_price,target_end_time,target_end_price,a50_holiday_closure_return,target_preopen_first_time,target_preopen_first_price,target_preopen_last_time,target_preopen_last_price,a50_holiday_preopen_return,previous_archive_key,previous_archive_sha256,target_archive_key,target_archive_sha256
2015-09-07,2015-09-02,2015-09,2015,9,150000,9170,092459,9375,0.0223555070883,090000,9075,092459,9375,0.0330578512397,3391,ab18d7912a084698569a593cc198211bf342cfce0cd375d98eca38a4ca0b94f6,3394,7f299b211bbd65bf0270d498aebde992ed7dd3806f15b3e64bbca38e0db1761c
2015-10-08,2015-09-30,2015-10,2015,10,150000,9207.5,092459,9835,0.0681509638881,090000,9855,092459,9835,-0.00202942668696,3411,8ba07afeb4bf911bd0230643410d9215c3d7441e42db556e020597653175d147,3417,e65420138d44d7931b15243b377a555170da798b3141f82a849f3123f5fed03c
2016-01-04,2015-12-31,2016-01,2016,1,150000,10515,092458,10350,-0.0156918687589,090000,10460,092458,10350,-0.0105162523901,3477,ab3c3caff2431a17065efa4548e7ab75d8b4714cf6dc18a8ab9257f7aebf4c20,3479,728954b0bb2cd31e25471c52c64c26d09ccafc61dd00d29c963a5823c8884c74
2016-02-15,2016-02-05,2016-02,2016,2,150000,8747.5,092455,8620,-0.0145755930266,090000,8610,092455,8620,0.00116144018583,3504,9e71b6cd6d347ebd942a8b55f277099d4129d2132565267dfa47ab117ef06196,3510,cd9e9a15a4a089d1197484aad68a199ece5d5313bae83a03ee5acfd4b7698847
2016-04-05,2016-04-01,2016-04,2016,4,150000,9635,092459,9542.5,-0.00960041515309,090000,9572.5,092459,9542.5,-0.00313397753983,3544,287bcd77b66a24327d5e02d6ceeaa5ac6de938b03ff064930ee7261c22842852,3546,760ab298fc1ee24d143e33d8665a3284cee618248056fedf4e8bc0939db05123
2016-05-03,2016-04-29,2016-05,2016,5,150000,9552.5,092453,9557.5,0.000523423187647,090000,9565,092453,9557.5,-0.000784108729744,3564,4d0e1b21baadd110709271670acdf245edb7244c964bbbe8bb88666db00d2642,3566,24a6a39a24ce74aae6fece9c29d19302073f472db06e2ef971ba4fd964b88082
2016-06-13,2016-06-08,2016-06,2016,6,145959,9342.5,092459,9180,-0.017393631255,090000,9287.5,092459,9180,-0.0115746971736,3595,663593cec461774415fb13728f4bb64f96c327727716367af46e41e53a80ec6f,3598,323301f2716377068dd1b7ce2a2cd7e3ff528c3b87abc51202ff19dfcc9eb367
2016-09-19,2016-09-14,2016-09,2016,9,150000,9547.5,092453,9607.5,0.00628436763551,090000,9595,092453,9607.5,0.00130276185513,3666,7a845809882b9f00ec1487debbf61778c39ee7d0eb773a757f17905f379fdd54,3669,38dd01e424e29bdb1256ebe1862a18e40d27fca53958b4cc5ae52823de6953cd
2016-10-10,2016-09-30,2016-10,2016,10,150000,9605,092440,9685,0.00832899531494,090000,9677.5,092440,9685,0.000774993541721,3678,82e920e46641e1f893bef2316b20f5a7e632e05a8e80ac9a568558f4446b9bb0,3684,d59b3c89903465a8fd114604bee37b938cb60024f344b0a269e428b72779fadc
2017-01-03,2016-12-30,2017-01,2017,1,150000,9987.5,092459,9987.5,0,090000,9980,092459,9987.5,0.000751503006012,3747,5f93df033af0416da20ab3e3038ae260606f8a3af2aa6e75a3a4d8455b81bb10,3748,ba226302d343d72762c384777797a4d89e6a992a6b9368ef557848e56cfe6996
2017-02-03,2017-01-26,2017-02,2017,2,150000,10420,092455,10460,0.00383877159309,090000,10475,092455,10460,-0.00143198090692,3765,4c70454906305d55c2e9f2a22261e5f1dc12c4e145f2d61428894e0e101b0b21,3771,15e74c9c8fec44482d7ef449203d8754e8a7e42eaac38e8216d5fac0cbec31c6
2017-04-05,2017-03-31,2017-04,2017,4,150000,10422.5,092459,10510,0.00839529863277,090000,10500,092459,10510,0.000952380952381,3812,9d6e7d071218f8ce8a24a798d107d891adf518e37fe2ab8563092a6fec648b8d,3815,ec9289f5aca3eff6c621ce9e7788b54d090eaa42cb5ed91ec04d3684cb549329
2017-05-02,2017-04-28,2017-05,2017,5,150000,10367.5,092457,10387.5,0.00192910537738,090000,10392.5,092457,10387.5,-0.00048111618956,3832,db410b81f04053a7b03794bcffbb0f3d4bf3cecc1b152c5e9151ce614f683e2c,3834,c598d28015eeef7a6c4ae241f5cd8f0238eaffa65bac6c7811a69f1be5d41dc8
2017-10-09,2017-09-29,2017-10,2017,10,150000,12020,092459,12335,0.0262063227953,090000,12370,092459,12335,-0.00282942603072,3946,4f1452ad8bf91ce981978a6b8604bb142d201e7800872ae6082428b74e411f09,3953,10d69e29e9f6968d8a4e05c1e8093e80caf3eb2831c7708338a1840d4cc56b1a
2018-01-02,2017-12-29,2018-01,2018,1,150000,13257.5,092455,13297.5,0.00301716009806,090000,13250,092455,13297.5,0.00358490566038,4012,416058712a4bc1362f6f10f22d0cecb6978f76c1b853b1c552e38e21701bf8d5,4014,b155245ad65bbc4f25655d5548b0d3f65d9736a6dbcefa12bd7a1f600f7d67ef
2018-02-22,2018-02-14,2018-02,2018,2,145959,13320,092456,13587.5,0.0200825825826,090000,13640,092456,13587.5,-0.00384897360704,4045,d47a1064fb8ec492e863ad98422c0966b0515c7532fd259381555d0fafa85c18,4051,e4911257f727dd8e2faa464e2afacb18f8810238a48a1e59698a1303055d8f5f
2018-04-09,2018-04-04,2018-04,2018,4,145959,12510,092458,12567.5,0.00459632294165,090000,12530,092458,12567.5,0.00299281723863,4081,e54b444de2f9bcaf81818359453dc8a561f3a07ade20e2177f0d5bfb34d44850,4084,9b951a57af94162df75d92344dfc7950a6f1cca32c5f087b7ddc2ff272e970c4
2018-05-02,2018-04-27,2018-05,2018,5,150000,12212.5,092445,12275,0.00511770726714,090001,12280,092445,12275,-0.000407166123778,4098,79dc468931ea463860eb9ce8b39326ecf5a525179cc2ba08505c83077c02314c,4101,5a264f86c11e3a6f8f5ca6b1c7ebc6588ae19454c2d9f12571e71aec73b90bab
2018-06-19,2018-06-15,2018-06,2018,6,150000,12462.5,092450,12272.5,-0.0152457372116,090000,12300,092450,12272.5,-0.00223577235772,4133,21a21d262d8e8570eafd3efca9005494f448f3749c015f06876d0ea067ef70f2,4135,ebd785031f66e7cb3ed48805f125df6b0d31a5cb6bc99d0fc9b338668e94e110
2018-09-25,2018-09-21,2018-09,2018,9,150000,11820,092454,11630,-0.0160744500846,090000,11645,092454,11630,-0.00128810648347,4203,b68b309645f81e525c066c2dfbfa979d44647287fe1958865602f7b224faf39b,4205,102c2d081f706026b51164a9bd21723b103f806f1dbdc0006a58e8e6d4a38a12
2018-10-08,2018-09-28,2018-10,2018,10,150000,11875,092458,11540,-0.0282105263158,090000,11507.5,092458,11540,0.00282424505757,4208,9bd8233e46b29c59c0bdb60af499ec11156913d7d651d88aacbe0d4c7d2a3709,4214,15c20248284a395b0cb32fb5ee54974bfeac825fbce59cf05a01a50570c6bd0e
2019-01-02,2018-12-28,2019-01,2019,1,150000,10365,092459,10417.5,0.00506512301013,090000,10435,092459,10417.5,-0.00167704839483,4275,e451cdcc4729e31fd6f5229bbda9bb894933d724989e1f436805847e26a4f526,4278,608d79f17de1f0508b89a6073fbf20ac63e79c7de7d18a2c3adea85a044bb601
2019-02-11,2019-02-01,2019-02,2019,2,145959,11535,092457,11415,-0.0104031209363,090000,11430,092457,11415,-0.00131233595801,4300,9203a0e3cf3fbc82adae139c5120f16d9a8d356a4176b995efca0c7c63eaa61c,4306,c3db90f35ad83ef3c01dd8957fb85bcd0561daa5c80dfd8e386690cee174c56d
2019-04-08,2019-04-04,2019-04,2019,4,150000,13647.5,092459,13757.5,0.00806008426452,090001,13740,092459,13757.5,0.00127365356623,4344,e79705dcd4378abdbb7895725d15af13ca2236c0d8685654c77e49dbfd8a3eb2,4346,c3efcac9536370f4661bc1ed6fcf2b739285e227ae4b11e1ebf9a12bfbf2a067
2019-05-06,2019-04-30,2019-05,2019,5,150000,13650,092459,13160,-0.0358974358974,090001,13280,092459,13160,-0.00903614457831,4362,504fbb95173ba01a9a34c91adbc8e7dc658e8446fb5a6ecf864c504be140349f,4366,36ef6c3c50643800231ea7c314bf164397471750793103c434952e637e6b64b0
2019-06-10,2019-06-06,2019-06,2019,6,145959,12520,092459,12667.5,0.0117811501597,090000,12690,092459,12667.5,-0.00177304964539,4389,93899b1b003479232abd1cf15ca1953dcdfbede314fb3a2e871810fe033b4db9,4391,367b59130f3fccacfb939083f81e03ada0fe3e3f5d2b9cd0fec8ee35efb44764
2019-09-16,2019-09-12,2019-09,2019,9,150000,13985,092459,13972.5,-0.000893814801573,090000,14015,092459,13972.5,-0.00303246521584,4459,742fcabef43b3ba352e8bb1f3d2ab5dadbe11492a06dbfa10aa975c99d340fd8,4461,5da540b9ee823efc59207f52de21a1a70078a20c46ae2cb6bb9b2ebc09a6bf56
2019-10-08,2019-09-30,2019-10,2019,10,150000,13522.5,092459,13527.5,0.000369754113515,090000,13507.5,092459,13527.5,0.00148065889321,4471,9e1c9810bcfd20a8b33b52739923cf71da8b2ea58ebb9384315bdb0b0a7dc010,4477,fd2d18bd36c55349576d1ce1134e2eb5843fbc1009e31c4d63c131a19940a9a9
2020-04-07,2020-04-03,2020-04,2020,4,150000,12620,092459,12917.5,0.0235736925515,090000,12947.5,092459,12917.5,-0.00231704962348,4606,489025edc6fc1697ca1c6552b202533619377860d6ac754e693392d7066c5a2a,4608,46a12a052bf06157c375e921fcf1f73c91aff4cd2231b3b096174acc261db59c
2020-05-06,2020-04-30,2020-05,2020,5,150000,13385,092459,13037.5,-0.0259618976466,090001,12935,092459,13037.5,0.00792423656745,4625,79e5abd503df3ca6d2d222f5e21619ef425f2daf2cf47d52f5b7f0d304481b3c,4629,08ffce2f25203e8bae708bc102dcb746fcbde9debf800a54852ff305f2cde6ef
2020-06-29,2020-06-24,2020-06,2020,6,150000,13937.5,092458,13865,-0.00520179372197,090000,13847.5,092458,13865,0.00126376602275,4664,7d487ad1891182dfdaf3db51388c9040a616b83865ce713892347f4c0acabf9b,4667,decaf13585e7f155e104b6e1f1580129733973412224c639e6a7ed422772d205
2020-10-09,2020-09-30,2020-10,2020,10,150000,15137.5,092459,15465,0.0216350123865,090000,15525,092459,15465,-0.00386473429952,4734,ec02688582923f198e4ebea1bc81a464a0d5852e4a51fc4d65ef556510d8adb6,4741,b0879a674ba370db15cc8d3964c0726b045ab43b4e49ab68542e9516a95d7773
