trading_day,previous_china_day,contract,delivery_year,delivery_month,start_time,start_price,target_end_time,target_end_price,a50_ordinary_preauction_closure_return,previous_archive_key,previous_archive_sha256,target_archive_key,target_archive_sha256
2015-01-06,2015-01-05,2015-01,2015,1,145958,11890,91459,11722.5,-0.0140874684609,3217,69289203aa12d33637caeba86c38d828e58f721dd6ec922ec0809b14a9103ef5,3218,4ddb58cf79ceb84ab2f9deef98ca98cd86ad4624d66262cbc486c420d815ebb0
2015-01-07,2015-01-06,2015-01,2015,1,145959,11717.5,91456,11712.5,-0.000426712182633,3218,4ddb58cf79ceb84ab2f9deef98ca98cd86ad4624d66262cbc486c420d815ebb0,3219,1be1dbac80902e167689c5ff5a4fd5b1c54b7b789475a3f3e12b89e57e982d23
2015-01-08,2015-01-07,2015-01,2015,1,145959,11762.5,91459,11850,0.00743889479277,3219,1be1dbac80902e167689c5ff5a4fd5b1c54b7b789475a3f3e12b89e57e982d23,3220,c9bfb61191bb7e39fb21f361575495b45e00ec7eacb69bc847317b985b7e774b
2015-01-09,2015-01-08,2015-01,2015,1,150000,11420,91450,11405,-0.00131348511384,3220,c9bfb61191bb7e39fb21f361575495b45e00ec7eacb69bc847317b985b7e774b,3221,d0414bf8d0afeeb62912f2af1ec74f442daa67c6af3ce88cb9e23e5e07a46a6b
2015-01-12,2015-01-09,2015-01,2015,1,145959,11340,91458,11495,0.0136684303351,3221,d0414bf8d0afeeb62912f2af1ec74f442daa67c6af3ce88cb9e23e5e07a46a6b,3222,c11ec05d86f11bd234d3092d34d2f33a198790d201947db8608075310af3db71
2015-01-13,2015-01-12,2015-01,2015,1,145959,11267.5,91459,11277.5,0.000887508320391,3222,c11ec05d86f11bd234d3092d34d2f33a198790d201947db8608075310af3db71,3223,8f14d44941d67a1ef24091ca1aa472d47b6834f322d830539c1b5a042fbaa039
2015-01-14,2015-01-13,2015-01,2015,1,145959,11185,91459,11245,0.00536432722396,3223,8f14d44941d67a1ef24091ca1aa472d47b6834f322d830539c1b5a042fbaa039,3224,235dd1e67baff9ca7c9e05ece0a3e75e90210ec67fe507f868e4d99e6003f5cd
2015-01-15,2015-01-14,2015-01,2015,1,145959,11185,91456,11200,0.00134108180599,3224,235dd1e67baff9ca7c9e05ece0a3e75e90210ec67fe507f868e4d99e6003f5cd,3225,54255c07edc41e5410eef91d5d9ecd5c91591b28519208dee474437d886338f0
2015-01-16,2015-01-15,2015-01,2015,1,145958,11587.5,91459,11670,0.00711974110032,3225,54255c07edc41e5410eef91d5d9ecd5c91591b28519208dee474437d886338f0,3226,e1bfa095effbfa50a609f45aeaf230934c3c38ffff7c2b1d88f99187a0ae3cc3
2015-01-19,2015-01-16,2015-01,2015,1,145958,11680,91459,11210,-0.0402397260274,3226,e1bfa095effbfa50a609f45aeaf230934c3c38ffff7c2b1d88f99187a0ae3cc3,3227,4f3b86abd4e56a84d3867bab6d0d8597ebce3b83edf8ec5f2f7df0a51db8a14d
2015-01-20,2015-01-19,2015-01,2015,1,145959,10047.5,91459,10402.5,0.0353321721821,3227,4f3b86abd4e56a84d3867bab6d0d8597ebce3b83edf8ec5f2f7df0a51db8a14d,3228,424c4e5dcb6e2f42ea5c982f7035cf188ffe33b35a0c9a9055318edec355c19e
2015-01-21,2015-01-20,2015-01,2015,1,145959,10560,91459,10602.5,0.00402462121212,3228,424c4e5dcb6e2f42ea5c982f7035cf188ffe33b35a0c9a9055318edec355c19e,3229,ce0e9fdcf27386760722dadadf867587d7d2c5b4aa714c4f6ef3817f73d9ea2b
2015-01-22,2015-01-21,2015-01,2015,1,150000,11187.5,91459,11172.5,-0.00134078212291,3229,ce0e9fdcf27386760722dadadf867587d7d2c5b4aa714c4f6ef3817f73d9ea2b,3230,53cda8dc6692de8d824b95edbd83a8c2d885ea41696c0ef44ed7dadd650c7e50
2015-01-23,2015-01-22,2015-01,2015,1,145959,11060,91459,11157.5,0.00881555153707,3230,53cda8dc6692de8d824b95edbd83a8c2d885ea41696c0ef44ed7dadd650c7e50,3231,0c5753814e0533085642a275b35697a94794cb600824aef28544be8002b8a7d4
2015-01-26,2015-01-23,2015-01,2015,1,145957,11240,91455,11285,0.00400355871886,3231,0c5753814e0533085642a275b35697a94794cb600824aef28544be8002b8a7d4,3232,847f4288067f23ac437549b9f2187bc45c27fc10109d86b306c8b765d1321f0b
2015-01-27,2015-01-26,2015-01,2015,1,145959,11240,91448,11282.5,0.00378113879004,3232,847f4288067f23ac437549b9f2187bc45c27fc10109d86b306c8b765d1321f0b,3233,ece97e4af4719843c703e1748a1bf93880426e45318fdd9a1801b31c4f391411
2015-01-28,2015-01-27,2015-01,2015,1,145959,11095,91458,11040,-0.00495718792249,3233,ece97e4af4719843c703e1748a1bf93880426e45318fdd9a1801b31c4f391411,3234,bb652580632adeba8865761c888fd5f7023eeeec9e44a62fa8c873bb01c4cfbf
2015-01-29,2015-01-28,2015-01,2015,1,150000,10977.5,91459,10755,-0.0202687314962,3234,bb652580632adeba8865761c888fd5f7023eeeec9e44a62fa8c873bb01c4cfbf,3235,c0000b4e8d665ae4b69a083790e1b6e0a033cc0b9e1dd502226b6ba59cd86d76
2015-02-02,2015-01-30,2015-02,2015,2,145959,10502.5,91459,10240,-0.0249940490359,3236,b282e990aa2f7af457452e8d59f28dc778056b9819223428532661ae7f7643fc,3237,ea58bb000a37e035355b3071aa2b08a13255dfc5ec74c305f8b4894f792b149b
2015-02-03,2015-02-02,2015-02,2015,2,145959,10297.5,91459,10410,0.0109249817917,3237,ea58bb000a37e035355b3071aa2b08a13255dfc5ec74c305f8b4894f792b149b,3238,e1387907aae05d03aeb209201baa198fe682f7d363e743e987dd0ad67ab03bef
2015-02-04,2015-02-03,2015-02,2015,2,150000,10557.5,91459,10687.5,0.0123135211935,3238,e1387907aae05d03aeb209201baa198fe682f7d363e743e987dd0ad67ab03bef,3239,42d0d045cc8bff08f6c7c075d1f96eedefc4ce3539f4d95f7976bc8550f7b062
2015-02-05,2015-02-04,2015-02,2015,2,145959,10440,91459,10845,0.0387931034483,3239,42d0d045cc8bff08f6c7c075d1f96eedefc4ce3539f4d95f7976bc8550f7b062,3240,1ab93cfe504f1f0e4d2f6a2f89afba72797dba4bcd7c0662459854fc24b43a4f
2015-02-06,2015-02-05,2015-02,2015,2,145959,10335,91453,10335,0,3240,1ab93cfe504f1f0e4d2f6a2f89afba72797dba4bcd7c0662459854fc24b43a4f,3241,cb514ec5ea97b078aeee77ccc0644e026ecf5d2f6b278527e2549f35414a5fef
2015-02-09,2015-02-06,2015-02,2015,2,145959,10220,91459,10170,-0.00489236790607,3241,cb514ec5ea97b078aeee77ccc0644e026ecf5d2f6b278527e2549f35414a5fef,3242,3b6de0b0fe8e6e667af3a1cde559e42a442aedd4df2c53c85bca5ae5aba5f25d
