trading_day,cu_product,cu_contract,cu_delivery_year,cu_delivery_month,cu_previous_day_volume_0900_1455,cu_previous_1455_close,cu_previous_1455_volume,cu_night_positive_volume_bar_count,cu_night_end_datetime,cu_night_end_close,cu_cu_night_return,cu_source_path,cu_source_git_blob_sha,rb_product,rb_contract,rb_delivery_year,rb_delivery_month,rb_previous_day_volume_0900_1455,rb_previous_1455_close,rb_previous_1455_volume,rb_night_positive_volume_bar_count,rb_night_end_datetime,rb_night_end_close,rb_rb_night_return,rb_source_path,rb_source_git_blob_sha,previous_china_day,domestic_night_cyclical_return
2015-01-06,CU,CU1503,2015,3,189194,45080,8244,48,2015-01-06 00:55:00,44710,-0.00820763087844,5min/SHFE/CU/CU1503.csv,bc43308cba5e1d6c90f7cd7e99454765fce5a7d9,RB,RB1505,2015,5,2891694,2560,106640,48,2015-01-06 00:55:00,2613,0.020703125,5min/SHFE/RB/RB1505.csv,53e94ff04153e37508bad947c6c21d38e47d3d03,2015-01-05,0.00624774706078
2015-01-07,CU,CU1503,2015,3,158336,44800,6348,48,2015-01-07 00:55:00,44800,0,5min/SHFE/CU/CU1503.csv,bc43308cba5e1d6c90f7cd7e99454765fce5a7d9,RB,RB1505,2015,5,4606472,2619,199688,48,2015-01-07 00:55:00,2574,-0.0171821305842,5min/SHFE/RB/RB1505.csv,53e94ff04153e37508bad947c6c21d38e47d3d03,2015-01-06,-0.0085910652921
2015-01-08,CU,CU1503,2015,3,198790,44650,11876,48,2015-01-08 00:55:00,44660,0.000223964165734,5min/SHFE/CU/CU1503.csv,bc43308cba5e1d6c90f7cd7e99454765fce5a7d9,RB,RB1505,2015,5,2310494,2585,72152,48,2015-01-08 00:55:00,2580,-0.00193423597679,5min/SHFE/RB/RB1505.csv,53e94ff04153e37508bad947c6c21d38e47d3d03,2015-01-07,-0.000855135905528
2015-01-09,CU,CU1503,2015,3,102840,44680,4038,48,2015-01-09 00:55:00,44500,-0.00402864816473,5min/SHFE/CU/CU1503.csv,bc43308cba5e1d6c90f7cd7e99454765fce5a7d9,RB,RB1505,2015,5,2088050,2579,87418,48,2015-01-09 00:55:00,2572,-0.00271423032183,5min/SHFE/RB/RB1505.csv,53e94ff04153e37508bad947c6c21d38e47d3d03,2015-01-08,-0.00337143924328
2015-01-12,CU,CU1503,2015,3,234906,44250,19682,48,2015-01-10 00:55:00,44210,-0.00090395480226,5min/SHFE/CU/CU1503.csv,bc43308cba5e1d6c90f7cd7e99454765fce5a7d9,RB,RB1505,2015,5,2713130,2557,114878,48,2015-01-10 00:55:00,2566,0.00351974970669,5min/SHFE/RB/RB1505.csv,53e94ff04153e37508bad947c6c21d38e47d3d03,2015-01-09,0.00130789745221
2015-01-13,CU,CU1503,2015,3,256324,43960,15382,48,2015-01-13 00:55:00,43510,-0.0102365787079,5min/SHFE/CU/CU1503.csv,bc43308cba5e1d6c90f7cd7e99454765fce5a7d9,RB,RB1505,2015,5,3661866,2502,259712,48,2015-01-13 00:55:00,2503,0.000399680255795,5min/SHFE/RB/RB1505.csv,53e94ff04153e37508bad947c6c21d38e47d3d03,2015-01-12,-0.00491844922605
2015-01-14,CU,CU1503,2015,3,228056,42890,16120,48,2015-01-14 00:55:00,42560,-0.00769410118909,5min/SHFE/CU/CU1503.csv,bc43308cba5e1d6c90f7cd7e99454765fce5a7d9,RB,RB1505,2015,5,1808500,2511,125582,48,2015-01-14 00:55:00,2509,-0.000796495420151,5min/SHFE/RB/RB1505.csv,53e94ff04153e37508bad947c6c21d38e47d3d03,2015-01-13,-0.00424529830462
2015-01-15,CU,CU1503,2015,3,193738,41190,162,48,2015-01-15 00:55:00,40160,-0.0250060694343,5min/SHFE/CU/CU1503.csv,bc43308cba5e1d6c90f7cd7e99454765fce5a7d9,RB,RB1505,2015,5,3916294,2487,177786,48,2015-01-15 00:55:00,2473,-0.00562927221552,5min/SHFE/RB/RB1505.csv,53e94ff04153e37508bad947c6c21d38e47d3d03,2015-01-14,-0.0153176708249
2015-01-16,CU,CU1503,2015,3,412166,40920,20530,48,2015-01-16 00:55:00,40850,-0.00171065493646,5min/SHFE/CU/CU1503.csv,bc43308cba5e1d6c90f7cd7e99454765fce5a7d9,RB,RB1505,2015,5,3456560,2519,138660,48,2015-01-16 00:55:00,2513,-0.0023818975784,5min/SHFE/RB/RB1505.csv,53e94ff04153e37508bad947c6c21d38e47d3d03,2015-01-15,-0.00204627625743
2015-01-19,CU,CU1503,2015,3,269660,41040,8960,48,2015-01-17 00:55:00,41590,0.0134015594542,5min/SHFE/CU/CU1503.csv,bc43308cba5e1d6c90f7cd7e99454765fce5a7d9,RB,RB1505,2015,5,2253360,2510,128452,48,2015-01-17 00:55:00,2482,-0.0111553784861,5min/SHFE/RB/RB1505.csv,53e94ff04153e37508bad947c6c21d38e47d3d03,2015-01-16,0.00112309048405
